"species","gid"
"Terpsichore_kessleri",89801
"Terpsichore_lehmanniana",89802
"Terpsichore_leucosticta",89803
"Terpsichore_longicaulis",89804
"Terpsichore_longisetosa",89805
"Terpsichore_nana",89806
"Terpsichore_oligosora",89807
"Terpsichore_reclinatoides",89808
"Terpsichore_semihirsuta",89809
"Terpsichore_smithii",89810
"Terpsichore_subscabra",89811
"Terpsichore_subtilis",89812
"Terpsichore_taxifolia",89813
"Terpsichore_youngii",89814
"Terpsichore_zeledoniana",89815
"Tessaria_absinthioides",89816
"Tessaria_borealis",89817
"Tetragastris_cerradicola",89869
"Tessaria_dodonaeifolia",89818
"Tessaria_dodoneifolia",89819
"Tessaria_fastigiata",89820
"Tessaria_integrifolia",89821
"Tessiera_lithospermoides",89822
"Tessmanniacanthus_chlamydocardioides",89823
"Tessmannianthus_calcaratus",89824
"Tessmannianthus_carinatus",89825
"Tessmannianthus_cenepensis",89826
"Tessmannianthus_gordonii",89827
"Tessmannianthus_heterostemon",89828
"Tessmannianthus_quadridomius",89829
"Tetracentron_sinense",89830
"Tetracera_forzzae",89831
"Tetracera_hydrophila",89832
"Tetracera_lasiocarpa",89833
"Tetracera_macphersonii",89834
"Tetracera_mollis",89835
"Tetracera_oblongata",89836
"Tetracera_breyniana",89844
"Tetracera_surinamensis",89845
"Tetracera_tigarea",89846
"Tetracera_volubilis",89847
"Tetracera_willdenowiana",89848
"Tetracera_asperula",89842
"Tetrachondra_patagonica",89849
"Tetrachyron_brandegei",89850
"Tetrachyron_chimalapanum",89851
"Tetrachyron_discolor",89852
"Tetrachyron_manicatum",89853
"Tetrachyron_orizabaensis",89854
"Tetrachyron_orizabensis",89855
"Tetrachyron_websteri",89856
"Tetraclea_coulteri",89857
"Tetracoccus_dioicus",89858
"Tetracoccus_fasciculatus",89859
"Tetracoccus_ilicifolius",89860
"Tetradium_guaderramalii",89861
"Tetradium_glabrifolium",89862
"Tetradium_ruticarpum",89863
"Tetradymia_spinosa",89878
"Tetradymia_tetrameres",89880
"Tetradymia_argyraea",89864
"Tetradymia_axillaris",89865
"Tetradymia_canescens",89866
"Tetragastris_balsamifera",89867
"Tetragastris_breviacuminata",89868
"Tetraglochin_caespitosum",89870
"Tetraglochin_cristatum",89871
"Tetraglochin_inerme",89872
"Tetrapterys_splendens",89873
"Thalictrum_omeiense",89874
"Tetragastris_altissima",89881
"Tetragastris_occhionii",89884
"Tetraglochin_paucijugatum",89885
"Tetraglochin_tragacantha",89886
"Tetramerium_denudatum",89898
"Tetramerium_diffusum",89899
"Tetramerium_emilyanum",89900
"Tetrameranthus_guianensis",89907
"Tetrameranthus_laomae",89908
"Tetrameranthus_macrocarpus",89909
"Thalictrum_roseanum",89910
"Tetramerium_fruticosum",89911
"Tetramerium_glandulosum",89912
"Tetramerium_glutinosum",89913
"Tetramerium_langlassei",89914
"Tetramerium_nemorum",89915
"Tetramerium_nervosum",89916
"Tetradymia_comosa",89875
"Tetradymia_filifolia",89876
"Tetradymia_glabrata",89877
"Tetragastris_hostmannii",89882
"Tetragastris_mucronata",89883
"Tetramerium_crenatum",89897
"Tetragonia_angustifolia",89887
"Tetragonia_crystallina",89888
"Tetragonia_macrocarpa",89889
"Tetragonia_maritima",89890
"Tetragonia_pedunculata",89891
"Tetragonia_tetragonioides",89892
"Tetragonotheca_helianthoides",89893
"Tetrameranthus_pachycarpus",89894
"Tetrameranthus_umbellatus",89895
"Tetramerium_aureum",89896
"Tetramerium_oaxacanum",89917
"Tetragonotheca_repanda",89901
"Tetragonotheca_texana",89902
"Tetralocularia_pennellii",89903
"Tetralophozia_setiformis",89904
"Tetrameranthus_duckei",89905
"Tetrameranthus_globulifer",89906
"Tetramerium_ochoterenae",89918
"Tetramerium_platystegium",89919
"Tetramerium_rubrum",89920
"Tetramerium_scorpioides",89921
"Tetramerium_surcubambense",89922
"Tetramerium_tenuissimum",89923
"Tetramerium_wasshausenii",89924
"Tetramerium_zeta",89925
"Tetramicra_bulbosa",89926
"Tetramicra_parviflora",89927
"Tetramolopium_tenerrimum",89928
"Tetranema_floribundum",89929
"Tetranema_gamboanum",89930
"Tetranema_michaelfayanum",89931
"Tetranema_roseum",89932
"Tetraneuris_acaulis",89933
"Tetraneuris_turneri",89934
"Tetranthus_cupulatus",89935
"Tetrapanax_papyrifer",89936
"Tetraphis_geniculata",89937
"Tetraphis_pellucida",89938
"Tetraplandra_anomala",89939
"Tetraplandra_grandifolia",89940
"Tetraplandra_longipetiolata",89941
"Tetraplodon_angustatus",89942
"Thalia_multiflora",89943
"Thalia_pavoni",89944
"Tetrapterys_acapulcensis",89954
"Tetrapterys_affinis",89955
"Thaspium_barbinode",90083
"Tetraneuris_argentea",89945
"Tetraneuris_herbacea",89946
"Tetrapterys_xylosteifolia",90008
"Tetraplodon_fuegianus",89947
"Tetraplodon_mnioides",89948
"Tetraplodon_paradoxus",89949
"Tetraplodon_urceolatus",89950
"Tetrapollinia_caerulescens",89951
"Tetrapteron_graciliflorum",89952
"Tetrapteron_palmeri",89953
"Tetrapterys_tolimensis",90007
"Tetrapterys_anisoptera",89956
"Tetrapterys_arcana",89957
"Thalia_pavonii",89958
"Tetrapterys_chamaecerasifolia",89971
"Tetrapterys_chloroptera",89972
"Tetrapterys_crispa",89973
